#Run;Collection date;AST phenotypes;Isolate;Location;Isolation source
SRR30762253;2011;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=I,meropenem=R,nitrofurantoin=R,tigecycline=SDD,trimethoprim-sulfamethoxazole=R;PDT002391510.1;Tunisia: Sfax;blood
SRR2134680;2012;amikacin=R,amoxicillin-clavulanic acid=R,ampicillin=R,aztreonam=R,cefalexin=R,cefepime=R,cefotetan=S,ceftazidime=R,ceftriaxone=R,chloramphenicol=R,ciprofloxacin=R,colistin=S,ertapenem=S,gentamicin=S,imipenem=S,levofloxacin=R,meropenem=S,nitrofurantoin=R,piperacillin=R,sulbactam=R,tetracycline=R,tobramycin=R,trimethoprim-sulfamethoxazole=R;PDT000077414.3;USA:Boston;urine
SRR3185093;2012;amikacin=R,ampicillin-sulbactam=R,ampicillin=R,cefazolin=R,cefoxitin=R,ceftazidime=R,ceftriaxone=R,ciprofloxacin=R,ertapenem=R,gentamicin=R,imipenem=R,levofloxacin=R,tobramycin=R;PDT000111516.2;Honduras;respiratory
SRR30762246;2012;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=S,meropenem=S,nitrofurantoin=S,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391503.1;Tunisia: Sfax;blood
SRR30762247;2012;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=S,colistin=S,gentamicin=R,imipenem=S,meropenem=S,nitrofurantoin=S,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391504.1;Tunisia: Sfax;blood
SRR30762248;2012;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=I,meropenem=R,nitrofurantoin=R,tigecycline=SDD,trimethoprim-sulfamethoxazole=S;PDT002391505.1;Tunisia: Sfax;blood
SRR30762249;2012;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=R,gentamicin=R,imipenem=R,meropenem=R,nitrofurantoin=R,tigecycline=SDD,trimethoprim-sulfamethoxazole=R;PDT002391506.1;Tunisia: Sfax;blood
SRR30762250;2012;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=R,meropenem=S,nitrofurantoin=R,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391507.1;Tunisia: Sfax;blood
SRR5082458;2013;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT000881524.1;Australia: Melbourne;urine
SRR5082468;2013;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT000881533.1;Australia: Melbourne;rectal swab
SRR30762236;2013;amikacin=S,amoxicillin=R,cefotaxime=S,ceftazidime-avibactam=S,ceftazidime=S,ciprofloxacin=S,colistin=S,gentamicin=S,imipenem=S,meropenem=S,nitrofurantoin=S,tigecycline=SDD,trimethoprim-sulfamethoxazole=S;PDT002391493.1;Tunisia: Sfax;blood
SRR30762237;2013;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=S,ciprofloxacin=S,colistin=S,gentamicin=S,imipenem=S,meropenem=S,nitrofurantoin=S,tigecycline=SDD,trimethoprim-sulfamethoxazole=S;PDT002391494.1;Tunisia: Sfax;blood
SRR30762238;2013;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=S,meropenem=S,nitrofurantoin=S,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391495.1;Tunisia: Sfax;blood
SRR30762239;2013;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=I,meropenem=R,nitrofurantoin=R,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391496.1;Tunisia: Sfax;blood
SRR30762240;2013;amikacin=S,amoxicillin=R,cefotaxime=S,ceftazidime-avibactam=S,ceftazidime=S,ciprofloxacin=S,colistin=S,gentamicin=S,imipenem=S,meropenem=S,nitrofurantoin=S,tigecycline=SDD,trimethoprim-sulfamethoxazole=S;PDT002391497.1;Tunisia: Sfax;blood
SRR30762241;2013;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=S,meropenem=S,nitrofurantoin=S,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391498.1;Tunisia: Sfax;blood
SRR30762242;2013;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=R,gentamicin=R,imipenem=I,meropenem=R,nitrofurantoin=R,tigecycline=NS,trimethoprim-sulfamethoxazole=S;PDT002391499.1;Tunisia: Sfax;blood
SRR30762244;2013;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,colistin=S,gentamicin=S,imipenem=S,meropenem=S,nitrofurantoin=S,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391501.1;Tunisia: Sfax;blood
SRR30762245;2013;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=I,meropenem=R,nitrofurantoin=R,tigecycline=NS,trimethoprim-sulfamethoxazole=I;PDT002391502.1;Tunisia: Sfax;blood
SRR5082445;2014;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT000881515.1;Australia: Melbourne;urine
SRR5082447;2014;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT000881516.1;Australia: Melbourne;sputum
SRR5082453;2014;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT000881521.1;Australia: Melbourne;wound
SRR5082461;2014;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT000881527.1;Australia: Melbourne;sputum
SRR30762226;2014;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=S,imipenem=R,meropenem=R,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391483.1;Tunisia: Sfax;blood
SRR30762227;2014;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=R,gentamicin=R,imipenem=S,meropenem=S,tigecycline=SDD,trimethoprim-sulfamethoxazole=I;PDT002391484.1;Tunisia: Sfax;blood
SRR30762228;2014;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=R,meropenem=I,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391485.1;Tunisia: Sfax;blood
SRR30762229;2014;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=R,gentamicin=R,imipenem=S,meropenem=R,nitrofurantoin=R,tigecycline=SDD,trimethoprim-sulfamethoxazole=S;PDT002391486.1;Tunisia: Sfax;blood
SRR30762230;2014;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=I,meropenem=S,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391487.1;Tunisia: Sfax;blood
SRR30762231;2014;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=S,colistin=S,gentamicin=S,imipenem=S,meropenem=S,nitrofurantoin=S,tigecycline=SDD,trimethoprim-sulfamethoxazole=R;PDT002391488.1;Tunisia: Sfax;blood
SRR30762233;2014;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=R,meropenem=I,nitrofurantoin=S,tigecycline=SDD,trimethoprim-sulfamethoxazole=R;PDT002391490.1;Tunisia: Sfax;blood
SRR30762234;2014;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=S,imipenem=R,meropenem=R,nitrofurantoin=R,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391491.1;Tunisia: Sfax;blood
SRR30762235;2014;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=S,imipenem=S,meropenem=S,nitrofurantoin=R,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391492.1;Tunisia: Sfax;blood
SRR2134674;2015;amikacin=R,amoxicillin-clavulanic acid=R,ampicillin=R,aztreonam=R,cefalexin=R,cefazolin=R,cefepime=R,cefotetan=R,cefoxitin=R,ceftazidime=R,ceftriaxone=R,chloramphenicol=R,ciprofloxacin=R,colistin=S,ertapenem=R,gentamicin=I,gentamicin=S,imipenem=R,levofloxacin=R,meropenem=R,piperacillin-tazobactam=R,piperacillin=R,sulbactam=R,tetracycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=R;PDT000077408.3;USA:Boston;ulcer
SRR2134679;2015;amikacin=R,amoxicillin-clavulanic acid=R,ampicillin=R,aztreonam=R,cefalexin=R,cefazolin=R,cefepime=R,cefotetan=R,cefoxitin=R,ceftazidime=R,ceftriaxone=R,chloramphenicol=R,ciprofloxacin=R,colistin=S,ertapenem=R,gentamicin=I,gentamicin=S,imipenem=R,levofloxacin=R,meropenem=R,piperacillin-tazobactam=R,piperacillin=R,sulbactam=R,tetracycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=R;PDT000077413.3;USA:Boston;wound
SRR2449251;2015;amikacin=S,amoxicillin-clavulanic acid=R,ampicillin=R,cefepime=R,cefoxitin=R,ceftazidime=R,ceftriaxone=R,ciprofloxacin=R,ertapenem=R,gentamicin=R,levofloxacin=R,meropenem=I,nitrofurantoin=R,piperacillin-tazobactam=R,tetracycline=R,tobramycin=S,trimethoprim-sulfamethoxazole=R;PDT000084303.3;USA:Boston;urine
SRR2449299;2015;amikacin=S,amoxicillin-clavulanic acid=R,ampicillin=R,cefazolin=R,cefepime=S,cefoxitin=R,ceftazidime=R,ceftriaxone=R,ciprofloxacin=R,ertapenem=R,gentamicin=S,levofloxacin=R,meropenem=R,piperacillin-tazobactam=R,tetracycline=R,tobramycin=S,trimethoprim-sulfamethoxazole=R;PDT000084306.3;USA:Boston;sputum
SRR2449365;2015;amikacin=R,amoxicillin-clavulanic acid=R,ampicillin=R,aztreonam=R,cefazolin=R,cefepime=R,cefotetan=I,cefoxitin=R,ceftazidime=R,ceftriaxone=R,cephalothin=R,ciprofloxacin=R,colistin=S,ertapenem=R,gentamicin=S,imipenem=S,levofloxacin=R,meropenem=R,piperacillin-tazobactam=R,piperacillin=R,sulfamethoxazole=R,tetracycline=R,tobramycin=R,trimethoprim-sulfamethoxazole=R;PDT000084309.3;USA:Boston;rectal
SRR3057129;2015;amikacin=S,amoxicillin-clavulanic acid=R,ampicillin=R,cefazolin=R,cefepime=S,cefoxitin=R,ceftazidime=R,ceftriaxone=R,ciprofloxacin=S,ertapenem=R,gentamicin=R,levofloxacin=S,meropenem=R,piperacillin-tazobactam=R,tetracycline=R,tobramycin=I,trimethoprim-sulfamethoxazole=S;PDT000101134.2;USA:Boston;trachael aspirate
SRR3057130;2015;amikacin=S,amoxicillin-clavulanic acid=S,ampicillin=R,cefepime=S,cefoxitin=R,ceftazidime=S,ceftriaxone=S,ciprofloxacin=S,ertapenem=S,gentamicin=S,levofloxacin=S,meropenem=S,piperacillin-tazobactam=S,tetracycline=R,tobramycin=S,trimethoprim-sulfamethoxazole=S;PDT000101135.2;USA:Boston;trachael aspirate
SRR3095383;2015;amikacin=S,amoxicillin-clavulanic acid=R,ampicillin=R,aztreonam=R,cefotetan=S,ceftazidime=R,ceftriaxone=R,cephalothin=R,ciprofloxacin=S,colistin=S,ertapenem=I,gentamicin=S,imipenem=I,levofloxacin=S,meropenem=I,nitrofurantoin=S,piperacillin=R,sulfamethoxazole=R,tetracycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=S;PDT000102016.2;USA:Boston;urine
SRR3168635;2015;amikacin=S,amoxicillin-clavulanic acid=S,ampicillin=R,cefepime=S,cefoxitin=S,ceftazidime=S,ceftriaxone=S,ciprofloxacin=S,ertapenem=S,gentamicin=S,levofloxacin=S,meropenem=S,nitrofurantoin=I,piperacillin-tazobactam=S,tetracycline=S,tobramycin=S,trimethoprim-sulfamethoxazole=S;PDT000107928.2;USA:Boston;urine
SRR3168636;2015;amikacin=S,amoxicillin-clavulanic acid=S,ampicillin=R,cefepime=S,cefoxitin=S,ceftazidime=S,ceftriaxone=S,ciprofloxacin=S,ertapenem=S,gentamicin=S,levofloxacin=S,meropenem=S,nitrofurantoin=S,piperacillin-tazobactam=S,tetracycline=S,tobramycin=S,trimethoprim-sulfamethoxazole=S;PDT000107929.2;USA:Boston;urine
SRR3168637;2015;amikacin=S,amoxicillin-clavulanic acid=S,ampicillin=R,aztreonam=S,cefepime=S,cefotetan=S,ceftazidime=S,ceftriaxone=S,cephalothin=S,chloramphenicol=S,ciprofloxacin=S,colistin=S,ertapenem=S,gentamicin=S,imipenem=S,levofloxacin=S,meropenem=S,piperacillin=S,sulfamethoxazole=I,tetracycline=S,tobramycin=S,trimethoprim-sulfamethoxazole=I;PDT000107930.2;USA:Boston;abdominal
SRR26887353;2015;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001992399.1;Canada: Hamilton, Ontario;Not collected
SRR26887386;2015;amoxicillin-clavulanic acid=R,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=R;PDT001992432.1;Canada: Hamilton, Ontario;Not collected
SRR26887393;2015;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001992439.1;Canada: Hamilton, Ontario;Not collected
SRR26887395;2015;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=R;PDT001992441.1;Canada: Hamilton, Ontario;Not collected
SRR26887419;2015;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001992465.1;Canada: Hamilton, Ontario;Not collected
SRR26887430;2015;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001992476.1;Canada: Hamilton, Ontario;Not collected
SRR26887441;2015;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001992487.1;Canada: Hamilton, Ontario;Not collected
SRR26887452;2015;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001992498.1;Canada: Hamilton, Ontario;Not collected
SRR26887520;2015;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=R;PDT001992565.1;Canada: Hamilton, Ontario;Not collected
SRR26887534;2015;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001992579.1;Canada: Hamilton, Ontario;Not collected
SRR26887548;2015;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001992593.1;Canada: Hamilton, Ontario;Not collected
SRR26887551;2015;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001992596.1;Canada: Hamilton, Ontario;Not collected
SRR26887552;2015;amoxicillin-clavulanic acid=R,ceftazidime=I,ceftriaxone=S,piperacillin-tazobactam=R;PDT001992597.1;Canada: Hamilton, Ontario;Not collected
SRR26887558;2015;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001992603.1;Canada: Hamilton, Ontario;Not collected
SRR26887629;2015;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001992673.1;Canada: Hamilton, Ontario;Not collected
SRR26887630;2015;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=R;PDT001992674.1;Canada: Hamilton, Ontario;Not collected
SRR26887652;2015;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001992696.1;Canada: Hamilton, Ontario;Not collected
SRR26887663;2015;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001992707.1;Canada: Hamilton, Ontario;Not collected
SRR26887665;2015;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001992709.1;Canada: Hamilton, Ontario;Not collected
SRR26887666;2015;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001992710.1;Canada: Hamilton, Ontario;Not collected
SRR26887674;2015;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001992718.1;Canada: Hamilton, Ontario;Not collected
SRR26887694;2015;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001992738.1;Canada: Hamilton, Ontario;Not collected
SRR30762215;2015;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=S,meropenem=S,tigecycline=NS,trimethoprim-sulfamethoxazole=S;PDT002391472.1;Tunisia: Sfax;blood
SRR30762216;2015;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=R,gentamicin=R,imipenem=I,meropenem=I,nitrofurantoin=R,tigecycline=NS,trimethoprim-sulfamethoxazole=I;PDT002391473.1;Tunisia: Sfax;blood
SRR30762217;2015;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=R,gentamicin=R,imipenem=I,meropenem=R,nitrofurantoin=R,tigecycline=NS,trimethoprim-sulfamethoxazole=S;PDT002391474.1;Tunisia: Sfax;blood
SRR30762218;2015;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=S,imipenem=R,meropenem=I,nitrofurantoin=S,tigecycline=SDD,trimethoprim-sulfamethoxazole=R;PDT002391475.1;Tunisia: Sfax;blood
SRR30762219;2015;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=S,meropenem=I,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391476.1;Tunisia: Sfax;blood
SRR30762220;2015;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=I,meropenem=I,nitrofurantoin=R,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391477.1;Tunisia: Sfax;blood
SRR30762222;2015;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=S,meropenem=S,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391479.1;Tunisia: Sfax;blood
SRR30762223;2015;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=R,meropenem=I,nitrofurantoin=R,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391480.1;Tunisia: Sfax;blood
SRR30762224;2015;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=R,gentamicin=R,imipenem=R,meropenem=R,tigecycline=SDD,trimethoprim-sulfamethoxazole=R;PDT002391481.1;Tunisia: Sfax;blood
SRR30762225;2015;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=R,gentamicin=R,imipenem=R,meropenem=R,tigecycline=SDD,trimethoprim-sulfamethoxazole=R;PDT002391482.1;Tunisia: Sfax;blood
SRR4019406;2016;amikacin=S,amoxicillin-clavulanic acid=S,ampicillin=R,cefepime=S,cefoxitin=S,ceftazidime=R,ceftriaxone=R,ciprofloxacin=S,ertapenem=S,gentamicin=S,levofloxacin=S,meropenem=S,nitrofurantoin=I,piperacillin-tazobactam=S,tetracycline=S,tobramycin=S,trimethoprim-sulfamethoxazole=S;PDT000144515.2;USA:Boston;urine
SRR4245474;2016;amikacin=S,amoxicillin-clavulanic acid=I,ampicillin=R,cefazolin=R,cefepime=S,cefoxitin=S,ceftazidime=R,ceftriaxone=R,ciprofloxacin=R,ertapenem=S,gentamicin=S,levofloxacin=I,meropenem=S,piperacillin-tazobactam=I,tetracycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=R;PDT000149556.2;USA:Boston;bile
SRR4245485;2016;amikacin=S,amoxicillin-clavulanic acid=R,ampicillin=R,cefepime=R,cefoxitin=R,ceftazidime=R,ceftriaxone=R,ciprofloxacin=R,gentamicin=R,levofloxacin=R,meropenem=I,nitrofurantoin=R,piperacillin-tazobactam=R,tetracycline=R,tobramycin=R,trimethoprim-sulfamethoxazole=R;PDT000149567.2;USA:Boston;urine
SRR4294843;2016;amikacin=S,amoxicillin-clavulanic acid=I,ampicillin=R,cefepime=S,cefoxitin=S,ceftazidime=R,ceftriaxone=R,ciprofloxacin=R,ertapenem=S,gentamicin=S,levofloxacin=R,meropenem=S,nitrofurantoin=S,piperacillin-tazobactam=I,tetracycline=I,tobramycin=R,trimethoprim-sulfamethoxazole=R;PDT000150952.2;USA:Boston;urine
SRR4294848;2016;amikacin=S,amoxicillin-clavulanic acid=S,ampicillin=R,cefazolin=R,cefepime=S,cefoxitin=S,ceftazidime=R,ceftriaxone=R,ciprofloxacin=S,ertapenem=S,gentamicin=S,levofloxacin=S,meropenem=S,piperacillin-tazobactam=S,tetracycline=S,tobramycin=S,trimethoprim-sulfamethoxazole=R;PDT000150957.2;USA:Boston;sputum
SRR5120227;2016;amikacin=S,amoxicillin-clavulanic acid=I,ampicillin=R,cefazolin=R,cefepime=S,cefoxitin=S,ceftazidime=R,ceftriaxone=R,ciprofloxacin=R,ertapenem=S,gentamicin=R,levofloxacin=R,meropenem=S,nitrofurantoin=R,piperacillin-tazobactam=I,tetracycline=S,tobramycin=I,trimethoprim-sulfamethoxazole=S;PDT000173729.2;USA:Boston;urine
SRR5120229;2016;amikacin=S,amoxicillin-clavulanic acid=I,ampicillin=R,cefazolin=R,cefepime=S,cefoxitin=S,ceftazidime=S,ceftriaxone=R,ciprofloxacin=R,ertapenem=S,gentamicin=R,levofloxacin=R,meropenem=S,piperacillin-tazobactam=I,tetracycline=R,tobramycin=I,trimethoprim-sulfamethoxazole=R;PDT000173731.3;USA:Boston;bile
SRR5237403;2016;amikacin=S,amoxicillin-clavulanic acid=I,ampicillin=R,cefazolin=R,cefepime=S,cefoxitin=S,ceftazidime=I,ceftriaxone=R,ciprofloxacin=S,ertapenem=S,gentamicin=R,levofloxacin=S,meropenem=S,nitrofurantoin=I,piperacillin-tazobactam=S,tetracycline=R,tobramycin=R,trimethoprim-sulfamethoxazole=R;PDT000186892.2;USA:Boston;urine
